Date_reported,time,new,cum,newdeath,cumdeath
10/07/2020,190,1395,51754,4,1318
11/07/2020,191,1160,52914,42,1360
12/07/2020,192,1308,54222,12,1372
13/07/2020,193,2037,56259,162,1534
14/07/2020,194,747,57006,65,1599
15/07/2020,195,539,57545,4,1603
16/07/2020,196,1305,58850,11,1614
17/07/2020,197,2416,61266,29,1643
18/07/2020,198,1735,63001,17,1660
19/07/2020,199,2303,65304,113,1773
20/07/2020,200,2152,67456,58,1831
21/07/2020,201,1442,68898,4,1835
22/07/2020,202,1866,70764,2,1837
23/07/2020,203,1505,72269,6,1843
24/07/2020,204,2121,74390,28,1871
25/07/2020,205,2054,76444,8,1879
26/07/2020,206,1968,78412,18,1897
27/07/2020,207,2036,80448,35,1932
28/07/2020,208,1592,82040,13,1945
29/07/2020,209,1633,83673,2,1947
30/07/2020,210,1813,85486,15,1962
31/07/2020,211,3888,89374,21,1983
01/08/2020,212,3980,93354,40,2023
02/08/2020,213,4878,98232,16,2039
03/08/2020,214,4953,103185,20,2059
04/08/2020,215,3145,106330,45,2104
05/08/2020,216,6263,112593,11,2115
06/08/2020,217,3387,115980,8,2123
07/08/2020,218,3480,119460,27,2150
08/08/2020,219,3294,122754,18,2168
09/08/2020,220,4131,126885,41,2209
10/08/2020,221,3028,129913,61,2270
11/08/2020,222,6725,136638,23,2293
12/08/2020,223,2900,139538,19,2312
13/08/2020,224,4211,143749,92,2404
14/08/2020,225,3777,147526,22,2426
15/08/2020,226,6134,153660,16,2442
16/08/2020,227,4258,157918,158,2600
17/08/2020,228,3335,161253,65,2665
18/08/2020,229,3221,164474,16,2681
19/08/2020,230,4739,169213,6,2687
20/08/2020,231,4561,173774,108,2795
21/08/2020,232,4248,178022,88,2883
22/08/2020,233,4343,182365,57,2940
23/08/2020,234,4884,187249,26,2966
24/08/2020,235,2352,189601,32,2998
25/08/2020,236,4651,194252,12,3010
26/08/2020,237,2912,197164,28,3038
27/08/2020,238,5197,202361,99,3137
28/08/2020,239,3220,205581,97,3234
29/08/2020,240,3963,209544,91,3325
30/08/2020,241,3587,213131,94,3419
31/08/2020,242,4265,217396,101,3520
01/09/2020,243,3423,220819,38,3558
02/09/2020,244,3445,224264,39,3597
03/09/2020,245,2176,226440,26,3623
04/09/2020,246,1963,228403,65,3688
05/09/2020,247,3669,232072,49,3737
06/09/2020,248,2498,234570,53,3790
07/09/2020,249,2795,237365,85,3875
08/09/2020,250,1362,238727,15,3890
